Day,BTC,ETH,XRP,BCH,LTC,NEO
"Sep 03, 2017",4585.27,350.23,0.227229,578.27,78.98
"Sep 02, 2017",4901.42,387.82,0.249348,621.96,85.83
"Sep 01, 2017",4701.76,383.47,0.255803,588.4,70.86
"Aug 31, 2017",4555.59,378.44,0.227558,576.25,64.16
"Aug 30, 2017",4570.36,369.47,0.218871,549.32,63.16
"Aug 29, 2017",4389.21,347.96,0.224026,596.13,62.39
"Aug 28, 2017",4384.45,350.04,0.203425,619.7,61.36
"Aug 27, 2017",4345.10,334.36,0.212617,625.89,51.8
"Aug 26, 2017",4372.06,331.99,0.218256,641.88,51.17
"Aug 25, 2017",4332.82,326.11,0.2172,627.06,50.17
"Aug 24, 2017",4137.60,317.45,0.252371,670.03,52.82
"Aug 23, 2017",4089.01,315.27,0.240987,690.96,46.71
"Aug 22, 2017",3998.35,321.06,0.194971,596.19,47.9
"Aug 21, 2017",4090.48,300.48,0.15841,723.7,46.19
"Aug 20, 2017",4189.31,296.64,0.154569,772.42,45.38
"Aug 19, 2017",4137.75,296.18,0.159553,697.04,47.05
"Aug 18, 2017",4324.34,301.7,0.157117,458.67,43.9
"Aug 17, 2017",4384.44,302.81,0.160787,301.02,44.18
"Aug 16, 2017",4200.34,289.82,0.161238,297.97,43.37
"Aug 15, 2017",4326.99,299.95,0.16979,298.19,45.81
"Aug 14, 2017",4066.10,298.03,0.168376,296.1,45.83
"Aug 13, 2017",3880.04,310.37,0.173545,316.29,46.57
"Aug 12, 2017",3650.63,308.71,0.179221,327.82,47.05
"Aug 11, 2017",3373.82,294.5,0.180175,275.88,46.4
"Aug 10, 2017",3341.84,296.96,0.183168,305.21,48.05
"Aug 09, 2017",3420.40,297.63,0.192527,345.28,48.59
"Aug 08, 2017",3370.22,269.1,0.179602,321.35,45.9
"Aug 07, 2017",3212.78,261.24,0.179716,223.76,45.17
"Aug 06, 2017",3257.61,256.42,0.185398,212.18,46.84
"Aug 05, 2017",2897.63,222.85,0.173865,231.11,43.49
"Aug 04, 2017",2806.93,225.31,0.174555,362.18,42.89
"Aug 03, 2017",2709.56,220.18,0.173218,448.49,42.19
"Aug 02, 2017",2727.13,227.01,0.177531,382.38,43.07
"Aug 01, 2017",2871.30,204.69,0.168024,294.6,43.02
"Jul 31, 2017",2763.24,197.41,0.16505,346.36,40.34
"Jul 30, 2017",2724.39,206.74,0.169494,385.14,41.18
"Jul 29, 2017",2807.02,193.34,0.165218,410.56,40.56
"Jul 28, 2017",2679.73,204.32,0.173211,386.65,42.22
"Jul 27, 2017",2538.71,204.86,0.17521,417.1,42.35
"Jul 26, 2017",2577.77,207.09,0.177582,407.08,42.29
"Jul 25, 2017",2757.50,224.37,0.19228,441.35,44.48
"Jul 24, 2017",2732.70,226.28,0.194979,412.58,44.16
"Jul 23, 2017",2808.10,229.12,0.193568,555.89,46.63
"Jul 22, 2017",2668.63,217.86,0.182168,,45.77
"Jul 21, 2017",2838.41,226.06,0.18943,,45.07
"Jul 20, 2017",2269.89,205.42,0.170017,,40.96
"Jul 19, 2017",2323.08,234.94,0.188498,,44.35
"Jul 18, 2017",2233.52,195.03,0.179668,,42.62
"Jul 17, 2017",1932.62,159.99,0.150146,,41.19
"Jul 16, 2017",1991.98,169.57,0.16948,,38.92
"Jul 15, 2017",2230.12,199.71,0.190976,,42.81
"Jul 14, 2017",2360.59,209.53,0.200819,,46.36
"Jul 13, 2017",2402.70,231.81,0.205873,,48.72
"Jul 12, 2017",2332.77,197.15,0.184198,,45.26
"Jul 11, 2017",2385.89,211.53,0.196415,,46.27
"Jul 10, 2017",2525.25,243.01,0.234067,,49.91
"Jul 09, 2017",2572.61,251.82,0.236884,,52.36
"Jul 08, 2017",2520.27,245.89,0.239741,,46.64
"Jul 07, 2017",2608.59,270.35,0.254858,,51.1
"Jul 06, 2017",2608.10,268.86,0.256374,,53.2
"Jul 05, 2017",2602.87,273.1,0.255125,,55.27
"Jul 04, 2017",2561.00,282.19,0.259841,,46.56
"Jul 03, 2017",2498.56,288.41,0.258977,,41.48
"Jul 02, 2017",2436.40,275.12,0.254512,,38.95
